MetadataType,ComponentName,Namespace,LastModifiedDate
CustomObject,OpportunityRelatedDeleteLog,,1970-01-01T00:00:00.000Z
CustomObject,CollaborationGroup,,1970-01-01T00:00:00.000Z
CustomObject,AiEvalTestCaseCritRslt,,1970-01-01T00:00:00.000Z
CustomObject,Shipment,,1970-01-01T00:00:00.000Z
CustomObject,PromotionTier,,1970-01-01T00:00:00.000Z
CustomObject,AssetAction,,1970-01-01T00:00:00.000Z
CustomObject,IdentityResolution,,1970-01-01T00:00:00.000Z
CustomObject,PromotionLineItemRule,,1970-01-01T00:00:00.000Z
CustomObject,WaitlistWorkType,,1970-01-01T00:00:00.000Z
CustomObject,ActivationTarget,,1970-01-01T00:00:00.000Z
CustomObject,CampaignMember,,1970-01-01T00:00:00.000Z
CustomObject,LocationGroupAssignment,,1970-01-01T00:00:00.000Z
CustomObject,Demo_Project__c,,2025-04-26T09:08:44.000Z
CustomObject,InventoryReservation,,1970-01-01T00:00:00.000Z
CustomObject,MLModelFactorComponent,,1970-01-01T00:00:00.000Z
CustomObject,UserPrioritizedRecord,,1970-01-01T00:00:00.000Z
CustomObject,ContractLineItem,,1970-01-01T00:00:00.000Z
CustomObject,ContractContactRole,,1970-01-01T00:00:00.000Z
CustomObject,Recommendation,,1970-01-01T00:00:00.000Z
CustomObject,CartDeliveryGroupMethod,,1970-01-01T00:00:00.000Z
CustomObject,Asset,,1970-01-01T00:00:00.000Z
CustomObject,MarketSegmentField,,1970-01-01T00:00:00.000Z
CustomObject,PartnerRole,,1970-01-01T00:00:00.000Z
CustomObject,Event,,1970-01-01T00:00:00.000Z
CustomObject,Case,,1970-01-01T00:00:00.000Z
CustomObject,SocialPersona,,1970-01-01T00:00:00.000Z
CustomObject,UserCapabilityPreference,,1970-01-01T00:00:00.000Z
CustomObject,DataActionJobSummary,,1970-01-01T00:00:00.000Z
CustomObject,ChangeRequest,,1970-01-01T00:00:00.000Z
CustomObject,ExternalEventMapping,,1970-01-01T00:00:00.000Z
CustomObject,CreditMemo,,1970-01-01T00:00:00.000Z
CustomObject,PrivacyJobSession,,1970-01-01T00:00:00.000Z
CustomObject,DataPackageKit,,1970-01-01T00:00:00.000Z
CustomObject,BuyerGroup,,1970-01-01T00:00:00.000Z
CustomObject,DataCommCapActvTarget,,1970-01-01T00:00:00.000Z
CustomObject,SkillRequirement,,1970-01-01T00:00:00.000Z
CustomObject,MacroAction,,1970-01-01T00:00:00.000Z
CustomObject,StreamActivityAccess,,1970-01-01T00:00:00.000Z
CustomObject,AppointmentInvitation,,1970-01-01T00:00:00.000Z
CustomObject,MLModel,,1970-01-01T00:00:00.000Z
CustomObject,PromotionMarketSegment,,1970-01-01T00:00:00.000Z
CustomObject,LocationShippingCarrierMethod,,1970-01-01T00:00:00.000Z
CustomObject,ScorecardAssociation,,1970-01-01T00:00:00.000Z
CustomObject,Product2,,1970-01-01T00:00:00.000Z
CustomObject,ServiceAppointmentAttendee,,1970-01-01T00:00:00.000Z
CustomObject,AssetRelationship,,1970-01-01T00:00:00.000Z
CustomObject,ApprovalSubmissionDetail,,1970-01-01T00:00:00.000Z
CustomObject,AiEvalPrmptRagTestCsRslt,,1970-01-01T00:00:00.000Z
